model_name,drift_name,learning_threshold,accuracy,drifts_detected,model_args
majorityclass,kswin,1000,0.539,0,500.0
majorityclass,kswin,2000,0.541,0,500.0
majorityclass,dummydriftdetector,100,0.531,15,500.0
majorityclass,dummydriftdetector,200,0.53,15,500.0
majorityclass,dummydriftdetector,500,0.525,14,500.0
majorityclass,dummydriftdetector,1000,0.539,12,500.0
majorityclass,dummydriftdetector,2000,0.541,9,500.0
majorityclass,pagehinkley,100,0.531,1,500.0
majorityclass,pagehinkley,200,0.53,1,500.0
majorityclass,pagehinkley,500,0.525,1,500.0
majorityclass,pagehinkley,1000,0.539,1,500.0
majorityclass,pagehinkley,2000,0.541,1,500.0
majorityclass,bollingerband,100,0.531,0,500.0
majorityclass,bollingerband,200,0.53,0,500.0
majorityclass,bollingerband,500,0.525,0,500.0
majorityclass,bollingerband,1000,0.539,0,500.0
majorityclass,bollingerband,2000,0.541,0,500.0
majorityclass,adwin,100,0.512,0,1000.0
majorityclass,adwin,200,0.502,1,1000.0
majorityclass,adwin,500,0.511,1,1000.0
majorityclass,adwin,1000,0.529,0,1000.0
majorityclass,adwin,2000,0.519,0,1000.0
majorityclass,kswin,100,0.505,2,1000.0
majorityclass,kswin,200,0.502,2,1000.0
majorityclass,kswin,500,0.511,1,1000.0
majorityclass,kswin,1000,0.529,0,1000.0
majorityclass,kswin,2000,0.519,0,1000.0
majorityclass,dummydriftdetector,100,0.505,15,1000.0
majorityclass,dummydriftdetector,200,0.502,15,1000.0
majorityclass,dummydriftdetector,500,0.511,14,1000.0
majorityclass,dummydriftdetector,1000,0.529,12,1000.0
majorityclass,dummydriftdetector,2000,0.519,9,1000.0
majorityclass,pagehinkley,100,0.505,2,1000.0
majorityclass,pagehinkley,200,0.502,2,1000.0
majorityclass,pagehinkley,500,0.511,2,1000.0
majorityclass,pagehinkley,1000,0.529,2,1000.0
majorityclass,pagehinkley,2000,0.519,1,1000.0
majorityclass,bollingerband,100,0.505,0,1000.0
majorityclass,bollingerband,200,0.502,0,1000.0
majorityclass,bollingerband,500,0.511,0,1000.0
majorityclass,bollingerband,1000,0.529,0,1000.0
majorityclass,bollingerband,2000,0.519,0,1000.0
majorityclass,adwin,100,0.494,0,2000.0
majorityclass,adwin,200,0.496,0,2000.0
majorityclass,adwin,500,0.497,1,2000.0
majorityclass,adwin,1000,0.507,0,2000.0
majorityclass,adwin,2000,0.489,1,2000.0
majorityclass,kswin,100,0.498,0,2000.0
majorityclass,kswin,200,0.496,0,2000.0
majorityclass,kswin,500,0.497,0,2000.0
majorityclass,kswin,1000,0.507,1,2000.0
majorityclass,kswin,2000,0.489,0,2000.0
majorityclass,dummydriftdetector,100,0.498,15,2000.0
majorityclass,dummydriftdetector,200,0.496,15,2000.0
majorityclass,dummydriftdetector,500,0.497,14,2000.0
majorityclass,dummydriftdetector,1000,0.507,12,2000.0
majorityclass,dummydriftdetector,2000,0.489,9,2000.0
majorityclass,pagehinkley,100,0.498,2,2000.0
majorityclass,pagehinkley,200,0.496,2,2000.0
majorityclass,pagehinkley,500,0.497,2,2000.0
majorityclass,pagehinkley,1000,0.507,2,2000.0
majorityclass,pagehinkley,2000,0.489,1,2000.0
majorityclass,bollingerband,100,0.498,0,2000.0
majorityclass,bollingerband,200,0.496,0,2000.0
majorityclass,bollingerband,500,0.497,0,2000.0
majorityclass,bollingerband,1000,0.507,0,2000.0
majorityclass,bollingerband,2000,0.489,0,2000.0
majorityclass,adwin,100,0.507,0,5000.0
majorityclass,adwin,200,0.513,1,5000.0
majorityclass,adwin,500,0.514,2,5000.0
majorityclass,adwin,1000,0.525,0,5000.0
majorityclass,adwin,2000,0.519,1,5000.0
majorityclass,kswin,100,0.514,0,5000.0
majorityclass,kswin,200,0.513,0,5000.0
majorityclass,kswin,500,0.514,0,5000.0
majorityclass,kswin,1000,0.525,1,5000.0
majorityclass,kswin,2000,0.519,0,5000.0
majorityclass,dummydriftdetector,100,0.514,15,5000.0
majorityclass,dummydriftdetector,200,0.513,15,5000.0
majorityclass,dummydriftdetector,500,0.514,14,5000.0
majorityclass,dummydriftdetector,1000,0.525,12,5000.0
majorityclass,dummydriftdetector,2000,0.519,9,5000.0
majorityclass,pagehinkley,100,0.514,2,5000.0
majorityclass,pagehinkley,200,0.513,2,5000.0
majorityclass,pagehinkley,500,0.514,2,5000.0
majorityclass,pagehinkley,1000,0.525,2,5000.0
majorityclass,pagehinkley,2000,0.519,1,5000.0
majorityclass,bollingerband,100,0.514,0,5000.0
majorityclass,bollingerband,200,0.513,0,5000.0
majorityclass,bollingerband,500,0.514,0,5000.0
majorityclass,bollingerband,1000,0.525,0,5000.0
majorityclass,bollingerband,2000,0.519,0,5000.0
majorityclass,adwin,100,0.507,0,10000.0
majorityclass,adwin,200,0.513,1,10000.0
majorityclass,adwin,500,0.514,2,10000.0
majorityclass,adwin,1000,0.525,0,10000.0
majorityclass,adwin,2000,0.519,1,10000.0
majorityclass,kswin,100,0.514,0,10000.0
majorityclass,kswin,200,0.513,0,10000.0
majorityclass,kswin,500,0.514,0,10000.0
majorityclass,kswin,1000,0.525,1,10000.0
majorityclass,kswin,2000,0.519,1,10000.0
majorityclass,dummydriftdetector,100,0.514,15,10000.0
majorityclass,dummydriftdetector,200,0.513,15,10000.0
majorityclass,dummydriftdetector,500,0.514,14,10000.0
majorityclass,dummydriftdetector,1000,0.525,12,10000.0
majorityclass,dummydriftdetector,2000,0.519,9,10000.0
majorityclass,pagehinkley,100,0.514,2,10000.0
majorityclass,pagehinkley,200,0.513,2,10000.0
majorityclass,pagehinkley,500,0.514,2,10000.0
majorityclass,pagehinkley,1000,0.525,2,10000.0
majorityclass,pagehinkley,2000,0.519,1,10000.0
majorityclass,bollingerband,100,0.514,0,10000.0
majorityclass,bollingerband,200,0.513,0,10000.0
majorityclass,bollingerband,500,0.514,0,10000.0
majorityclass,bollingerband,1000,0.525,0,10000.0
majorityclass,bollingerband,2000,0.519,0,10000.0
